Abraham Mateo, Cádiz
Álex Ubago, Vitoria
Álvaro Morata, Madrid
Álvaro Ojeda, Cádiz
Ada Colau, Barcelona
Agoney, Santa Cruz de Tenerife
Aida Nizar, Valladolid
Aitana, Barcelona
Alba Reche, Alicante
Albert Rivera, Barcelona
Alberto Chicote, Madrid
Alberto Contador, Madrid
Alejandro Sanz, Madrid
Alexelcapo, Mallorca
Amaia Romero, Pamplona
Ana Rosa Quintana, Madrid
Andreu Buenafuente, Tarragona
Andrés Iniesta, Albacete
Andy y Lucas, Cádiz
Anna Simón, Barcelona
Antonio Banderas, Málaga
Antonio Castelo, Alicante
Antonio Lobato, Oviedo
Antonio Resines, Santander
Arkano, Alicante
Arturo Pérez Reverte, Murcia
Arturo Valls, Valencia
AuronPlay, Barcelona
Ayax y Prok, Granada
Bad Gyal, Barcelona
Bejo, Santa Cruz de Tenerife
Belén Cuesta, Sevilla
Belén Esteban, Madrid
Beret, Sevilla
Berto Romero, Barcelona
Borja Iglesias, A Coruña
Blanca Suárez, Madrid
C. Tangana, Madrid
Carles Puigdemont, Girona
Carles Puyol, Lleida
Carlos Sobera, Bilbao
Chimo Bayo, Valencia
Christian Gálvez
Dalas Review, Santa Cruz de Tenerife
Dani Pedrosa, Barcelona
Dario Eme Hache, Madrid
David Bisbal, Almería
David Broncano, A Coruña
David Bustamante, Santander
David De Gea, Madrid
David Suárez, Madrid
DjMaRiiO, Madrid
Don Patricio, Santa Cruz de Tenerife
El Cejas, Palma de Mallorca
El Gran Wyoming, Madrid
El Langui, Madrid
El Rubius, Málaga
Enrique Iglesias, Madrid
Ernesto Sevilla, Albacete
Esperanza Aguirre, Madrid
Esperanza Gracia
Estopa, Barcelona
Eva Hache, Segovia
Falete, Sevilla
Fernando Alonso, Oviedo
Fernando Costa, Palma de Mallorca
Fernando Tejero, Córdoba
Fito Cabrales, Bilbao
Folagor, Madrid
Fortfast, Granada
Froilán, Madrid
Gabriel Rufián, Barcelona
Gemeliers, Sevilla
Gerard Piqué, Barcelona
Grison, Madrid
Hamza Zaidi,
Ibai Llanos, Bilbao
Ignatius, Santa Cruz de Tenerife
Iker Casillas, Madrid
Iker Jiménez, Vitoria
Irene Montero, Madrid
Isabel Pantoja, Sevilla
Isco, Málaga
Jaime Altozano, Madrid
Javier Bardem, Las Palmas de Gran Canaria
Jesús Vázquez, A Coruña
Joaquín Reyes, Albacete
Jordi Cruz (Art Attack), Barcelona
Jordi Cruz (Master Chef), Barcelona
Jordi ENP, Ciudad Real
Jordi Évole, Barcelona
Jordi Hurtado, Barcelona
Jordi Wild, Barcelona
Jorge Javier Vázquez, Barcelona
Jorge Ponce, Málaga
José Mota, Ciudad Real
Joseba de Carglass, Tarragona
Juan Magán, Barcelona
Julio Iglesias, Madrid
Karmele Marchante, Tarragona
Kase O, Zaragoza
Kidd Keo, Alicante
LMDShow, Málaga
Leticia Sabater, Barcelona
Lolito Fernández, Málaga
Loquillo, Barcelona
Los Chikos del Maíz
Loulogio, Barcelona
Luis Cepeda, Ourense
Luis Enrique, Oviedo
MangelRogel, Barcelona
Manuel Bartual, Valencia
Manuela Carmena, Madrid
Marc Márquez, Lleida
Manolo Lama, Madrid
Mariano Rajoy, A Coruña
María Isabel, Huelva
Mario Casas, A Coruña
Melendi, Oviedo
Miguel Ángel Revilla, Santander
Miki Nuñez, Barcelona
Miriam Rodríguez, A Coruña
Míster Jägger, Madrid
Nach, Albacete
Natos y Waor, Madrid
Natalia Lacunza, Pamplona
Omar Montes, Madrid
Orslok, A Coruña
Pablo Alborán, Málaga
Pablo Casado, Palencia
Pablo Iglesias, Madrid
Pablo Motos, Valencia
Paco León, Sevilla
Patri la de Vox, Palma de Mallorca
Patricia Conde, Valladolid
Pau Gasol, Barcelona
Paz Padilla, Cádiz
Pedro Almodóvar, Ciudad Real
Pedro Piqueras, Albacete
Pedro Sánchez, Madrid
Penélope Cruz, Madrid
Pepe Reina, Madrid
Pepe Viyuela, Logroño
Perxitaa, Valencia
Piezas, Murcia
Quequé, Salamanca
Rafa Nadal, Palma de Mallorca
Ramón García, Bilbao
Rayden, Madrid
Risto Mejide, Barcelona
Roberto Leal, Sevilla
Rosalía, Barcelona
Rosario Flores, Madrid
Salvador Raya, Córdoba
Sandro Rey, Cádiz
Santiago Abascal, Bilbao
Santiago Segura, Madrid
Sr. Cheeto, Málaga
Ter, Madrid
TheGrefg, Murcia
Vegetta777, Madrid
Willyrex, Madrid
Wismichu, A Coruña
Yola Berrocal, Ciudad Real
Yolanda Ramos, Barcelona
Zatu, Sevilla
